alpha_deg,case,x,y,objective,objective_per_scalar,residual_rms,worker
35.0,center,1.0,0.0,6.799945909390936,0.6799945909390936,1.1661857407283744,1
35.0,off_center,1.0,-1.0,0.4911601863200389,0.04911601863200389,0.3134199056601348,1
36.0,center,1.0,0.0,6.36543738096661,0.636543738096661,1.128311781465266,1
36.0,off_center,1.0,-1.0,0.49933836172950996,0.049933836172950996,0.3160184683620595,1
37.0,center,1.0,0.0,5.745227732333935,0.5745227732333935,1.0719354208471643,1
37.0,off_center,1.0,-1.0,0.4978717658694787,0.04978717658694787,0.3155540416060231,1
38.0,center,1.0,0.0,4.858186215781615,0.48581862157816147,0.9857166140206438,1
38.0,off_center,1.0,-1.0,0.48628882007716845,0.048628882007716846,0.31186177068604237,1
39.0,center,1.0,0.0,3.7444483469782424,0.37444483469782425,0.8653841166763164,1
39.0,off_center,1.0,-1.0,0.4715391067009915,0.04715391067009915,0.30709578528563086,1
40.0,center,1.0,0.0,2.8039216319405567,0.2803921631940557,0.7488553441006557,1
40.0,off_center,1.0,-1.0,0.457209473404788,0.0457209473404788,0.30239360886261735,1
41.0,center,1.0,0.0,2.1786104978236995,0.21786104978236995,0.6600924931892044,1
41.0,off_center,1.0,-1.0,0.44565982773940593,0.044565982773940596,0.298549770637797,1
42.0,center,1.0,0.0,1.8274565588846738,0.1827456558884674,0.6045587744602958,1
42.0,off_center,1.0,-1.0,0.4398491870171617,0.04398491870171617,0.2965970960805792,1
43.0,center,1.0,0.0,1.6216584205123803,0.16216584205123802,0.5695012590877003,1
43.0,off_center,1.0,-1.0,0.4381237912161384,0.04381237912161384,0.2960147939600784,1
44.0,center,1.0,0.0,1.3866291455208541,0.1386629145520854,0.5266173459962848,1
44.0,off_center,1.0,-1.0,0.43242644768624783,0.043242644768624786,0.2940838137967637,1
45.0,center,1.0,0.0,1.0088678236873339,0.10088678236873339,0.4491921245274307,2
45.0,off_center,1.0,-1.0,0.4120635314810437,0.04120635314810437,0.28707613327514486,2
46.0,center,1.0,0.0,0.6011061596355688,0.06011061596355688,0.3467293352560665,2
46.0,off_center,1.0,-1.0,0.3725173682205394,0.03725173682205394,0.2729532444286162,2
47.0,center,1.0,0.0,0.3626614061446384,0.036266140614463836,0.2693181784227119,2
47.0,off_center,1.0,-1.0,0.320422344364506,0.0320422344364506,0.25314910403337637,2
48.0,center,1.0,0.0,0.27609923912516454,0.027609923912516453,0.23498903766991538,2
48.0,off_center,1.0,-1.0,0.2658840143499581,0.02658840143499581,0.2306009602538368,2
49.0,center,1.0,0.0,0.26389228325951397,0.0263892283259514,0.22973562338458264,2
49.0,off_center,1.0,-1.0,0.22102311211976555,0.022102311211976554,0.2102489534431815,2
50.0,center,1.0,0.0,0.28443363217664186,0.028443363217664185,0.23850938437581104,2
50.0,off_center,1.0,-1.0,0.196170558996395,0.0196170558996395,0.19807602530159726,2
51.0,center,1.0,0.0,0.30044687133783865,0.030044687133783866,0.2451313408513235,2
51.0,off_center,1.0,-1.0,0.1908212255371252,0.01908212255371252,0.1953567124708671,2
52.0,center,1.0,0.0,0.3153819209720381,0.03153819209720381,0.2511501228237956,2
52.0,off_center,1.0,-1.0,0.19489345804526198,0.019489345804526197,0.19743021959429716,2
53.0,center,1.0,0.0,0.35103547099205556,0.03510354709920556,0.264966213314851,2
53.0,off_center,1.0,-1.0,0.19098113572891004,0.019098113572891005,0.19543855081785172,2
54.0,center,1.0,0.0,0.423103222395272,0.0423103222395272,0.29089627787074623,3
54.0,off_center,1.0,-1.0,0.1650756506684302,0.01650756506684302,0.18170066079595318,3
55.0,center,1.0,0.0,0.46707164749366126,0.04670716474936613,0.30563757867567964,3
55.0,off_center,1.0,-1.0,0.1223408778202549,0.01223408778202549,0.15642306595911928,3
56.0,center,1.0,0.0,0.40160975092156304,0.040160975092156305,0.28341127391886267,3
56.0,off_center,1.0,-1.0,0.08106538854515632,0.008106538854515632,0.12733058434261293,3
57.0,center,1.0,0.0,0.32078472848371786,0.032078472848371786,0.2532922140468269,3
57.0,off_center,1.0,-1.0,0.0523275691766783,0.0052327569176678305,0.10230109400849856,3
58.0,center,1.0,0.0,0.2720743877106997,0.02720743877106997,0.2332699670813625,3
58.0,off_center,1.0,-1.0,0.0349033657469435,0.00349033657469435,0.08355042279599009,3
59.0,center,1.0,0.0,0.23161260774387096,0.023161260774387096,0.21522667480768778,3
59.0,off_center,1.0,-1.0,0.02294962310776606,0.002294962310776606,0.06774898243924563,3
60.0,center,1.0,0.0,0.17536154296120646,0.017536154296120647,0.18727602247015313,3
60.0,off_center,1.0,-1.0,0.012899116827825876,0.0012899116827825876,0.05079196162352046,3
61.0,center,1.0,0.0,0.09870662314521944,0.009870662314521944,0.1405038242506014,3
61.0,off_center,1.0,-1.0,0.005488932174316754,0.0005488932174316754,0.03313286034835131,3
62.0,center,1.0,0.0,0.027585001058837884,0.0027585001058837884,0.07427651184437498,3
62.0,off_center,1.0,-1.0,0.0012650538761593837,0.00012650538761593838,0.01590631243349246,3
63.0,center,1.0,0.0,0.0,0.0,0.0,4
63.0,off_center,1.0,-1.0,0.0,0.0,0.0,4
64.0,center,1.0,0.0,0.011923291758782852,0.0011923291758782852,0.04883296378222983,4
64.0,off_center,1.0,-1.0,0.0005724263217740388,5.724263217740388e-05,0.010699778705880219,4
65.0,center,1.0,0.0,0.016921833494633894,0.0016921833494633893,0.058175310045815644,4
65.0,off_center,1.0,-1.0,0.0011799916592441098,0.00011799916592441099,0.015362237201944969,4
66.0,center,1.0,0.0,0.024360026933210384,0.002436002693321038,0.06979975205286962,4
66.0,off_center,1.0,-1.0,0.002084412154903824,0.0002084412154903824,0.020417698963907875,4
67.0,center,1.0,0.0,0.09310073886381565,0.009310073886381564,0.13645566229645117,4
67.0,off_center,1.0,-1.0,0.005673145895925106,0.0005673145895925106,0.033684257141653295,4
68.0,center,1.0,0.0,0.5420105308971814,0.05420105308971814,0.3292447511797816,4
68.0,off_center,1.0,-1.0,0.02099806041260453,0.002099806041260453,0.06480441406664292,4
69.0,center,1.0,0.0,2.044542151867189,0.20445421518671889,0.6394594829803041,4
69.0,off_center,1.0,-1.0,0.0639582023680435,0.00639582023680435,0.1131001347196753,4
70.0,center,1.0,0.0,4.65383505129835,0.46538350512983506,0.9647626704323038,4
70.0,off_center,1.0,-1.0,0.13806749261586707,0.013806749261586707,0.16617309807298355,4
71.0,center,1.0,0.0,7.467016357911699,0.7467016357911699,1.222048800818666,4
71.0,off_center,1.0,-1.0,0.22973558515599488,0.02297355851559949,0.2143527863854328,4
72.0,center,1.0,0.0,9.898560743301985,0.9898560743301985,1.407022440709599,5
