alpha_deg,case,x,y,objective,objective_per_scalar,residual_rms,worker
35.0,center,1.0,0.0,4.4643623890824,0.44643623890823997,0.9449192969859807,1
35.0,off_center,1.0,-1.0,0.42240850936087415,0.04224085093608741,0.2906573616342356,1
36.0,center,1.0,0.0,5.0141906910217635,0.5014190691021764,1.0014180636499188,1
36.0,off_center,1.0,-1.0,0.42562824139439215,0.042562824139439216,0.2917630001883008,1
37.0,center,1.0,0.0,5.782104190772418,0.5782104190772418,1.0753700935745254,1
37.0,off_center,1.0,-1.0,0.4184249457697239,0.04184249457697239,0.28928357912945,1
38.0,center,1.0,0.0,6.39850506452206,0.639850506452206,1.1312387073047014,1
38.0,off_center,1.0,-1.0,0.40234580197975844,0.04023458019797584,0.28367086631508653,1
39.0,center,1.0,0.0,6.5102551169897,0.6510255116989699,1.1410745038769117,1
39.0,off_center,1.0,-1.0,0.38450542288713024,0.03845054228871302,0.2773104480134603,1
40.0,center,1.0,0.0,6.416474500626716,0.6416474500626717,1.1328260679051059,1
40.0,off_center,1.0,-1.0,0.36764579440729805,0.036764579440729805,0.271162605979253,1
41.0,center,1.0,0.0,6.324942891896987,0.6324942891896987,1.1247171103790488,1
41.0,off_center,1.0,-1.0,0.3540124834300339,0.035401248343003386,0.2660873854319418,1
42.0,center,1.0,0.0,6.276674220978798,0.6276674220978797,1.1204172634316911,1
42.0,off_center,1.0,-1.0,0.3465864833376854,0.03465864833376854,0.26328178187549756,1
43.0,center,1.0,0.0,6.256528286604308,0.6256528286604308,1.1186177440577552,1
43.0,off_center,1.0,-1.0,0.34353364394050423,0.03435336439405042,0.2621196840912579,1
44.0,center,1.0,0.0,6.227218752103244,0.6227218752103244,1.1159945118237136,1
44.0,off_center,1.0,-1.0,0.3368913457986389,0.03368913457986389,0.25957324430635714,1
45.0,center,1.0,0.0,6.154194521209855,0.6154194521209855,1.1094317934158777,2
45.0,off_center,1.0,-1.0,0.31680391826771037,0.031680391826771036,0.251715680190055,2
46.0,center,1.0,0.0,5.988378042564534,0.5988378042564534,1.0943836660481125,2
46.0,off_center,1.0,-1.0,0.28046421279598455,0.028046421279598454,0.23683927579520445,2
47.0,center,1.0,0.0,5.581994788768687,0.5581994788768687,1.0565978221412997,2
47.0,off_center,1.0,-1.0,0.23586801395396143,0.023586801395396144,0.21719484982566298,2
48.0,center,1.0,0.0,5.025554336833551,0.5025554336833551,1.002552176879942,2
48.0,off_center,1.0,-1.0,0.19295187105139183,0.019295187105139184,0.19644432852662957,2
49.0,center,1.0,0.0,4.576647661070054,0.4576647661070054,0.9567285572271849,2
49.0,off_center,1.0,-1.0,0.16045828344518503,0.016045828344518502,0.17914144324816914,2
50.0,center,1.0,0.0,4.309909707872134,0.4309909707872134,0.9284298258750775,2
50.0,off_center,1.0,-1.0,0.14364370601361404,0.014364370601361403,0.1694955492121336,2
51.0,center,1.0,0.0,4.268883682372765,0.4268883682372765,0.9240003985251051,2
51.0,off_center,1.0,-1.0,0.14073341478449622,0.014073341478449622,0.16776973194500622,2
