seed,case,x,y,sigma,noise_rms,relative_noise,recovered_angle_deg,signed_error_deg,absolute_error_deg,iterations,final_objective,converged,wall_time_min
2026,best,1.0,0.0,0.025,0.020970466090591923,0.027785102129321077,48.60373152717376,-14.396268472826243,14.396268472826243,12,0.28029321320749717,True,18.21140866643327
2026,worst,1.0,-1.0,0.025,0.020970466090591923,0.024785908443869287,63.585188253700935,0.5851882537009345,0.5851882537009345,7,0.0019332859036918833,False,11.367096802883315
2027,best,1.0,0.0,0.025,0.024043242873560945,0.03185641920766223,48.595541195832794,-14.404458804167206,14.404458804167206,11,0.28229729910990675,True,16.741109988750154
2027,worst,1.0,-1.0,0.025,0.024043242873560945,0.02841775733469037,62.44449317561491,-0.5555068243850911,0.5555068243850911,5,0.002565714442464088,False,8.583499460983392
2028,best,1.0,0.0,0.025,0.025479383616681544,0.03375925327187919,48.78113290290507,-14.218867097094929,14.218867097094929,11,0.27330819585387967,True,16.687178224949943
2028,worst,1.0,-1.0,0.025,0.025479383616681544,0.030115194712463635,62.70189849190618,-0.2981015080938221,0.2981015080938221,6,0.0031435749346815462,True,9.07581047968318
2029,best,1.0,0.0,0.025,0.021243728059400526,0.02814716426368693,48.665536238099634,-14.334463761900366,14.334463761900366,11,0.2586308286730816,True,16.653941348816684
2029,worst,1.0,-1.0,0.025,0.021243728059400526,0.025108888682402,63.530376080156174,0.5303760801561737,0.5303760801561737,6,0.0020557902321851626,False,9.529429518800073
2030,best,1.0,0.0,0.025,0.037145965492562064,0.04921704841677846,48.44930212414134,-14.55069787585866,14.55069787585866,11,0.24664628673050898,True,16.62409797333336
2030,worst,1.0,-1.0,0.025,0.037145965492562064,0.04390443663867002,63.815498938818415,0.8154989388184148,0.8154989388184148,9,0.006532383825027851,True,13.280508871466736
