alpha_deg,case,n_sensors,n_times,n_scalar,objective,objective_per_scalar,residual_rms,worker
20.0,Ns1,1,5,10,2.7163995048594445,0.27163995048594447,0.737075234268449,1
20.0,Ns2,2,5,20,4.4734917636794735,0.22367458818397368,0.668841667637377,1
20.0,Ns3,3,5,30,7.189891268538918,0.2396630422846306,0.6923337956284246,1
20.0,Ns5,5,5,50,8.779588668248351,0.17559177336496704,0.5926074136643366,1
21.0,Ns1,1,5,10,2.876736873902953,0.2876736873902953,0.758516561968551,1
21.0,Ns2,2,5,20,4.4051340611014735,0.22025670305507367,0.663711839663982,1
21.0,Ns3,3,5,30,7.281870935004426,0.2427290311668142,0.6967482058345241,1
21.0,Ns5,5,5,50,8.883165200265173,0.17766330400530347,0.5960927847328862,1
22.0,Ns1,1,5,10,3.13415954683884,0.313415954683884,0.7917271685168875,1
22.0,Ns2,2,5,20,4.292653089433028,0.2146326544716514,0.6551834162608993,1
22.0,Ns3,3,5,30,7.426812636271867,0.24756042120906224,0.7036482376998642,1
22.0,Ns5,5,5,50,9.042396950896912,0.18084793901793822,0.601411571252064,1
23.0,Ns1,1,5,10,3.3451960788983643,0.3345196078898364,0.8179481742626931,1
23.0,Ns2,2,5,20,4.1344417572851,0.206722087864255,0.6429962486115374,1
23.0,Ns3,3,5,30,7.479637836183463,0.24932126120611545,0.7061462471841303,1
23.0,Ns5,5,5,50,9.107093659808015,0.1821418731961603,0.6035592318839308,1
24.0,Ns1,1,5,10,3.250148276621941,0.32501482766219414,0.806244166071537,1
24.0,Ns2,2,5,20,3.960375680142075,0.19801878400710377,0.629315157940922,1
24.0,Ns3,3,5,30,7.210523956764017,0.24035079855880057,0.6933264722463733,1
24.0,Ns5,5,5,50,8.846687818092452,0.17693375636184905,0.5948676430296895,1
25.0,Ns1,1,5,10,2.8803481607130155,0.28803481607130155,0.7589925112559432,1
25.0,Ns2,2,5,20,3.8004073618701453,0.19002036809350725,0.616474440822176,1
25.0,Ns3,3,5,30,6.680755522583159,0.22269185075277198,0.6673707376755021,1
25.0,Ns5,5,5,50,8.329958524941043,0.16659917049882086,0.5772333505590627,1
26.0,Ns1,1,5,10,2.4809936378860384,0.24809936378860384,0.7044137474362689,1
26.0,Ns2,2,5,20,3.6622156353439443,0.18311078176719722,0.6051624273981279,1
26.0,Ns3,3,5,30,6.143209273229983,0.20477364244099944,0.6399588149889014,1
26.0,Ns5,5,5,50,7.819423752278796,0.15638847504557593,0.5592646512083093,1
27.0,Ns1,1,5,10,2.306311735352426,0.2306311735352426,0.6791629753383831,2
27.0,Ns2,2,5,20,3.5889448095008976,0.17944724047504487,0.5990780257613275,2
27.0,Ns3,3,5,30,5.895256544853323,0.19650855149511076,0.6269107615843116,2
27.0,Ns5,5,5,50,7.622771274435642,0.15245542548871285,0.5521873332279778,2
28.0,Ns1,1,5,10,2.3144108208829555,0.23144108208829556,0.6803544401094117,2
28.0,Ns2,2,5,20,3.75354989926677,0.1876774949633385,0.6126622151942104,2
28.0,Ns3,3,5,30,6.067960720149726,0.2022653573383242,0.6360272908269333,2
28.0,Ns5,5,5,50,7.885847180683387,0.15771694361366775,0.5616350124656898,2
29.0,Ns1,1,5,10,2.313972867353298,0.23139728673532983,0.6802900656857042,2
29.0,Ns2,2,5,20,4.367039016304474,0.2183519508152237,0.6608357599513267,2
29.0,Ns3,3,5,30,6.6810118836577725,0.22270039612192574,0.6673835420834495,2
29.0,Ns5,5,5,50,8.638458676608074,0.17276917353216148,0.5878250990424984,2
30.0,Ns1,1,5,10,2.4700418568440674,0.24700418568440674,0.7028572908982402,2
30.0,Ns2,2,5,20,5.444631932685882,0.2722315966342941,0.7378774920463343,2
30.0,Ns3,3,5,30,7.914673789529949,0.26382245965099826,0.7263917120273307,2
30.0,Ns5,5,5,50,10.02948585114952,0.2005897170229904,0.6333872701957158,2
31.0,Ns1,1,5,10,2.9314407795870654,0.29314407795870656,0.7656945578475879,2
31.0,Ns2,2,5,20,6.465252237288556,0.32326261186442784,0.8040679223354552,2
31.0,Ns3,3,5,30,9.396693016875622,0.31322310056252073,0.7914835444436236,2
31.0,Ns5,5,5,50,11.628708654202434,0.23257417308404868,0.6820178488632811,2
32.0,Ns1,1,5,10,3.366600462647199,0.3366600462647199,0.8205608402363835,2
32.0,Ns2,2,5,20,7.213610061295065,0.36068050306475324,0.8493297393412681,2
32.0,Ns3,3,5,30,10.580210523942263,0.35267368413140876,0.8398496105034624,2
32.0,Ns5,5,5,50,12.89220255581478,0.2578440511162956,0.7181142682279689,2
33.0,Ns1,1,5,10,3.7331509676116714,0.37331509676116714,0.8640776547986496,2
33.0,Ns2,2,5,20,7.772020924578971,0.38860104622894853,0.8815906603735643,2
33.0,Ns3,3,5,30,11.50517189219064,0.383505729739688,0.8757919042097706,2
33.0,Ns5,5,5,50,13.88094219900605,0.277618843980121,0.7451427299251077,2
34.0,Ns1,1,5,10,4.076266945340995,0.4076266945340995,0.9029138325821567,3
34.0,Ns2,2,5,20,8.269393217128984,0.4134696608564492,0.9093620410556504,3
34.0,Ns3,3,5,30,12.34566016246998,0.41152200541566597,0.9072177306641068,3
34.0,Ns5,5,5,50,14.771048410424712,0.29542096820849423,0.7686624333327267,3
35.0,Ns1,1,5,10,4.4643623890824,0.44643623890823997,0.9449192969859807,3
35.0,Ns2,2,5,20,8.775498615831493,0.43877493079157465,0.9367763135258861,3
35.0,Ns3,3,5,30,13.239861004913891,0.4413287001637964,0.9394984834088839,3
35.0,Ns5,5,5,50,15.69991816003753,0.3139983632007506,0.7924624447893421,3
36.0,Ns1,1,5,10,5.0141906910217635,0.5014190691021764,1.0014180636499188,3
36.0,Ns2,2,5,20,9.281575463823089,0.4640787731911544,0.9634093348013132,3
36.0,Ns3,3,5,30,14.295766154844852,0.4765255384948284,0.9762433492678231,3
36.0,Ns5,5,5,50,16.7631272897715,0.33526254579543,0.8188559651067213,3
37.0,Ns1,1,5,10,5.782104190772418,0.5782104190772418,1.0753700935745254,3
37.0,Ns2,2,5,20,9.54760765979985,0.47738038298999247,0.9771186038449913,3
37.0,Ns3,3,5,30,15.329711850572268,0.5109903950190756,1.010930655405281,3
37.0,Ns5,5,5,50,17.75682785957048,0.3551365571914096,0.8427770253055188,3
38.0,Ns1,1,5,10,6.39850506452206,0.639850506452206,1.1312387073047014,3
38.0,Ns2,2,5,20,9.408594922853819,0.47042974614269095,0.9699791195099933,3
38.0,Ns3,3,5,30,15.80709998737588,0.5269033329125293,1.0265508588594423,3
38.0,Ns5,5,5,50,18.156137480598098,0.36312274961196195,0.8522003867776193,3
39.0,Ns1,1,5,10,6.5102551169897,0.6510255116989699,1.1410745038769117,3
39.0,Ns2,2,5,20,9.101125947899934,0.4550562973949967,0.9539982152970693,3
39.0,Ns3,3,5,30,15.611381064889633,0.5203793688296544,1.02017583663764,3
39.0,Ns5,5,5,50,17.876801855116703,0.35753603710233406,0.8456193435610778,3
40.0,Ns1,1,5,10,6.416474500626716,0.6416474500626717,1.1328260679051059,3
40.0,Ns2,2,5,20,8.857238800371853,0.44286194001859264,0.9411290453690107,3
40.0,Ns3,3,5,30,15.273713300998569,0.5091237766999523,1.0090825305196323,3
40.0,Ns5,5,5,50,17.462402857035705,0.3492480571407141,0.8357607996798057,3
41.0,Ns1,1,5,10,6.324942891896987,0.6324942891896987,1.1247171103790488,4
41.0,Ns2,2,5,20,8.726310224975155,0.4363155112487577,0.9341472167156071,4
41.0,Ns3,3,5,30,15.051253116872143,0.5017084372290714,1.001706980338134,4
41.0,Ns5,5,5,50,17.181356032620275,0.3436271206524055,0.8290079862732391,4
42.0,Ns1,1,5,10,6.276674220978798,0.6276674220978797,1.1204172634316911,4
42.0,Ns2,2,5,20,8.703565078215986,0.4351782539107993,0.9329289939870015,4
42.0,Ns3,3,5,30,14.980239299194784,0.49934130997315945,0.9993410928938722,4
42.0,Ns5,5,5,50,17.08479238282878,0.3416958476565756,0.8266750844879451,4
43.0,Ns1,1,5,10,6.256528286604308,0.6256528286604308,1.1186177440577552,4
43.0,Ns2,2,5,20,8.741793805251191,0.43708969026255956,0.9349756042406235,4
43.0,Ns3,3,5,30,14.998322091855501,0.4999440697285167,0.9999440681643316,4
43.0,Ns5,5,5,50,17.10203752547659,0.3420407505095318,0.8270921962024933,4
44.0,Ns1,1,5,10,6.227218752103244,0.6227218752103244,1.1159945118237136,4
44.0,Ns2,2,5,20,8.704714978996764,0.4352357489498382,0.9329906204778676,4
44.0,Ns3,3,5,30,14.931933731100008,0.4977311243700003,0.9977285446152178,4
44.0,Ns5,5,5,50,17.019589031908318,0.34039178063816633,0.8250960921470497,4
45.0,Ns1,1,5,10,6.154194521209855,0.6154194521209855,1.1094317934158777,4
45.0,Ns2,2,5,20,8.412319306844044,0.4206159653422022,0.9171869660458571,4
45.0,Ns3,3,5,30,14.5665138280539,0.48555046093513,0.9854445300828758,4
45.0,Ns5,5,5,50,16.57074683755602,0.3314149367511204,0.8141436442681603,4
46.0,Ns1,1,5,10,5.988378042564534,0.5988378042564534,1.0943836660481125,4
46.0,Ns2,2,5,20,7.803761651855342,0.3901880825927671,0.8833890225634085,4
46.0,Ns3,3,5,30,13.792139694419875,0.45973798981399583,0.958893101251642,4
46.0,Ns5,5,5,50,15.624078386311972,0.3124815677262394,0.7905460995112675,4
47.0,Ns1,1,5,10,5.581994788768687,0.5581994788768687,1.0565978221412997,4
47.0,Ns2,2,5,20,7.008419446739452,0.35042097233697256,0.8371630335089726,4
47.0,Ns3,3,5,30,12.59041423550814,0.419680474516938,0.9161664417745697,4
47.0,Ns5,5,5,50,14.188683713771018,0.2837736742754204,0.7533573843474561,4
48.0,Ns1,1,5,10,5.025554336833551,0.5025554336833551,1.002552176879942,5
48.0,Ns2,2,5,20,6.145281565493997,0.30726407827469987,0.7839184629471356,5
48.0,Ns3,3,5,30,11.17083590232755,0.37236119674425167,0.862972996963696,5
48.0,Ns5,5,5,50,12.512070111645833,0.2502414022329167,0.7074480931247418,5
49.0,Ns1,1,5,10,4.576647661070054,0.4576647661070054,0.9567285572271849,5
49.0,Ns2,2,5,20,5.395298054046156,0.2697649027023078,0.7345269262624861,5
