n_sensors,family,layout,physical_hard_min,physical_D_common_tau,physical_D_own_tau,physical_n_eff_common_tau,hardest_pair_deg,min_separation,n_scalar,surrogate_D_own_tau,own_tau,common_tau,optimizer_evaluations
1,naive,"[1.0, 0.0]",0.0710778683423996,0.14271603524684906,0.1383330076932907,13.927115686154265,"[53.0, 82.0]",inf,10,0.1441839337348938,0.012275362090850636,0.013181559683216354,0
1,optimized,"[2.59843176, 0.03308933]",0.09596425294876099,0.1755107343196869,0.17119446396827698,15.632723658804847,"[58.0, 66.0]",inf,10,0.17465461790561676,0.012275362090850636,0.013181559683216354,24
2,naive,"[1.0, -0.4, 1.0, 0.4]",0.07224367558956146,0.15086981654167175,0.1545601487159729,10.000000000120151,"[61.0, 83.0]",0.8,20,0.1438700258731842,0.013903220697394284,0.013181559683216354,0
2,optimized,"[1.1734985, -0.10896219, 2.9657927, -0.13459078]",0.1229311153292656,0.21185964345932007,0.21578054130077362,6.961829983913346,"[59.0, 67.0]",1.7924774202297131,20,0.23333822190761566,0.013903220697394284,0.013181559683216354,69
3,naive,"[1.0, -0.4, 1.0, 0.0, 1.0, 0.4]",0.07258334010839462,0.1520799696445465,0.15743939578533173,9.821566884135693,"[61.0, 83.0]",0.4,30,0.14984998106956482,0.01422872312616444,0.013181559683216354,0
3,optimized,"[1.19317867, -0.08183101, 2.71147002, -0.3222556, 2.99454975, -0.12179689]",0.1280248612165451,0.21503880620002747,0.22075946629047394,6.521664432406328,"[59.0, 67.0]",0.3468686124586103,30,0.24061253666877747,0.01422872312616444,0.013181559683216354,81
5,naive,"[1.0, -0.8, 1.0, -0.4, 1.0, 0.0, 1.0, 0.4, 1.0, 0.8]",0.058271680027246475,0.1338658630847931,0.12143930792808533,15.178499622285429,"[61.0, 83.0]",0.4,50,0.11529022455215454,0.010627146233481977,0.013181559683216354,0
5,optimized,"[1.0, -0.15662353, 1.23066286, -0.13491526, 2.69450998, -0.34432429, 2.9907383, -0.1137402, 3.0, -0.31351254]",0.1274833083152771,0.2166859358549118,0.20205208659172058,7.437052604470894,"[59.0, 67.0]",0.19998691004976096,50,0.22640037536621094,0.010627146233481977,0.013181559683216354,142
8,naive,"[1.0, -0.9, 1.0, -0.642857, 1.0, -0.385714, 1.0, -0.128571, 1.0, 0.128571, 1.0, 0.385714, 1.0, 0.642857, 1.0, 0.9]",0.05660237744450569,0.13245731592178345,0.12160244584083557,14.89846343600863,"[61.0, 83.0]",0.257142,80,0.11573208123445511,0.010950532638389167,0.013181559683216354,0
8,optimized,"[1.0, -0.12392056, 1.1963828, -0.08637205, 1.54087174, 0.1203473, 2.63757103, -0.34835948, 2.80545933, -0.45900621, 2.81748408, -0.25905913, 2.98513448, -0.15003177, 2.99565391, -0.34971611]",0.12547995150089264,0.21287617087364197,0.20046013593673706,8.239358849964026,"[59.0, 67.0]",0.19990791707765868,80,0.22711540758609772,0.010950532638389167,0.013181559683216354,682
