start,x1,y1,x2,y2,separation
F01_baseline,1.0,-0.4,1.0,0.4,0.8
F02_near_wide,1.0,-0.9,1.0,0.9,1.8
F03_streamwise,1.0,0.0,2.0,0.0,1.0
F04_mid_vertical,2.0,-0.5,2.0,0.5,1.0
F05_far_vertical,3.0,-0.6,3.0,0.6,1.2
F06_diagonal,1.2,-0.8,2.8,0.8,2.262741699796952
F07_antidiagonal,1.2,0.8,2.8,-0.8,2.262741699796952
F08_near_far_asym,1.1,0.2,2.6,-0.7,1.7492855684535902
F09_far_close,2.6,0.15,3.0,-0.25,0.565685424949238
F10_centre_offaxis,1.5,0.0,2.2,0.85,1.101135777277262
R01_random,2.2739233746429086,-0.9180529521276106,1.5395734275277406,-0.9669447289429418,0.7359757133684577
R02_random,2.626540478400545,0.21327155153435973,2.8255111545554437,0.4589931219679968,0.3161778299405423
R03_random,2.087249982930846,0.6317071082430643,2.8701448475755367,-0.9945229996597038,1.8048680652436835
R04_random,2.7148085531751387,0.45931089285988813,1.0671711506109287,-0.648688758794882,1.9855407924280046
R05_random,2.7263578446997734,-0.40057621892523043,2.0829224404981836,-0.1546255576046831,0.6888402189071698
R06_random,2.2307702229625077,0.994419871578422,1.7673551085237669,0.9616706775524602,0.4645708535838439
R07_random,2.3710839689613894,0.37689346114188016,2.3009185525356326,-0.22215715204179243,0.6031457724447167
R08_random,1.2701930100448224,0.050708644951451776,2.4429766803881634,-0.3795162488820887,1.2492057463436836
R09_random,1.9716707176635782,0.8680870319124994,2.7789756686980005,-0.28440960658185954,1.4071210984508362
R10_random,2.143059661459522,0.1886000603993936,1.6437387821518843,-0.3241775489857335,0.7157249591842374
