start,x1_initial,y1_initial,x2_initial,y2_initial,x1_final,y1_final,x2_final,y2_final,D_tau_initial,D_tau_final,hard_min_initial,hard_min_final,N_eff_final,top1_weight_final,top10_weight_final,separation_final,penalty_active,iterations,function_evaluations,objective_gradient_evaluations,converged,status_message,wall_time_s
F01_baseline,1.0,-0.4,1.0,0.4,1.0,-0.18847329139071275,1.3396840172151883,0.12240710264454852,0.22890031337738037,0.2791789770126343,0.09047239273786545,0.12537585198879242,6.481368222337365,0.3689964410365637,0.9740814537508455,0.4604691639479973,False,16,19,19,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,7.578741764998995
F02_near_wide,1.0,-0.9,1.0,0.9,1.1653017330982067,0.0012204993675007207,1.5595415284572505,-0.1667248991287856,0.07270670682191849,0.28128403425216675,0.008581477217376232,0.14676810801029205,9.026169483472222,0.20449507768822436,0.956936326414111,0.4285214966846087,False,22,106,106,False,ABNORMAL: ,36.78932941498351
F03_streamwise,1.0,0.0,2.0,0.0,1.0,-0.16925565522512323,2.588428679688709,0.008902068445642432,0.2088589370250702,0.29586222767829895,0.053914692252874374,0.15674233436584473,12.045597319310774,0.23543583070509283,0.8992352708215355,1.5983885150241677,False,16,39,39,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.820546456001466
F04_mid_vertical,2.0,-0.5,2.0,0.5,1.3076720950470206,-0.014881028913363332,2.467933397978728,0.007847205104288893,0.17878630757331848,0.28486958146095276,0.04184723645448685,0.16189004480838776,16.29631284821982,0.14366702442303536,0.826361005119245,1.1604838920477718,False,13,32,32,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.21552898499067
F05_far_vertical,3.0,-0.6,3.0,0.6,2.442531453008766,-0.06847065867052171,2.7953691976054826,-0.04745936928463007,0.18374255299568176,0.25037306547164917,0.04556668922305107,0.12066671997308731,16.119027165856913,0.1765063146941883,0.8114182078885745,0.35346279619467114,False,12,79,79,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28.07765451297746
F06_diagonal,1.2,-0.8,2.8,0.8,1.2418199121470321,0.1352431731400355,2.5376213476282743,0.02273126500299312,0.1205080971121788,0.28372061252593994,0.032557412981987,0.1604330986738205,16.175474982853515,0.14502740868713598,0.8418881486211935,1.300676858281059,False,14,36,36,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.301339199999347
F07_antidiagonal,1.2,0.8,2.8,-0.8,1.0,-0.1692724036460328,2.588508880186317,0.008820265064798183,0.13631604611873627,0.2958622872829437,0.04487793520092964,0.15673746168613434,12.044843835128717,0.23547138904539872,0.8992360878446168,1.5984609663921523,False,30,58,58,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20.236542744998587
F08_near_far_asym,1.1,0.2,2.6,-0.7,1.3074348786267695,-0.015090766866980443,2.4676264632177856,0.007656201784118698,0.23224234580993652,0.28486955165863037,0.0901096984744072,0.16179776191711426,16.2899672172292,0.1440731645769625,0.8263499068075374,1.1604145541739068,False,20,36,36,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.54679252600181
F09_far_close,2.6,0.15,3.0,-0.25,2.442563841553065,-0.06843855567127913,2.795377963675437,-0.04747330597555433,0.23957335948944092,0.2503729462623596,0.09713409841060638,0.12066276371479034,16.1184657257136,0.17652720744588243,0.8114155738567769,0.3534364815122856,False,16,35,35,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.185022327001207
F10_centre_offaxis,1.5,0.0,2.2,0.85,1.3073233602109984,-0.015289703891173604,2.467113550994694,0.007505246546208087,0.20539678633213043,0.2848694920539856,0.054066479206085205,0.16169890761375427,16.27786098273023,0.1445094141512784,0.8263653113398062,1.160014179397616,False,17,61,61,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,21.289294285001233
R01_random,2.2739233746429086,-0.9180529521276106,1.5395734275277406,-0.9669447289429418,1.3076115037512424,-0.015109895220297789,2.467568568481891,0.007833764920576422,0.10297591984272003,0.28486958146095276,0.023477880284190178,0.16182254254817963,16.288622288847268,0.14396405104835439,0.8263436543697977,1.1601839524658155,False,15,70,70,False,ABNORMAL: ,23.954302947007818
