start,x1_final,y1_final,x2_final,y2_final,D_tau_final,hard_min_final,critical_pair_distance,hardest_pair_deg,separation_final,iterations,objective_gradient_evaluations,converged,status_message,wall_time_s
F01_baseline,1.0,-0.140111159854827,1.2750001673250955,0.001428138511351883,0.17792093753814697,0.09652836620807648,0.12502025067806244,"[69.0, 84.0]",0.3092870269035232,7,75,False,ABNORMAL: ,87.74212287200498
F02_near_wide,1.2749999110254655,-0.24988324287034247,1.2750000213224792,-0.04994433416897318,0.187957301735878,0.10711995512247086,0.1371220201253891,"[69.0, 84.0]",0.19993890870139971,36,194,False,ABNORMAL: ,219.27279502697638
F03_streamwise,1.0,-0.19838722934986053,2.3250056742960536,-0.12983117290053586,0.17378811538219452,0.10195845365524292,0.139026939868927,"[60.0, 83.0]",1.3267780408917773,9,52,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.05100117000984
F04_mid_vertical,2.493787043066001,0.04991389080867272,2.8249995157159615,-0.15033097624768013,0.20183445513248444,0.12798941135406494,0.16061316430568695,"[59.0, 67.0]",0.387039673446169,17,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.33571629598737
F05_far_vertical,2.485440234104273,0.04595497162685838,2.8249224549480574,-0.15000019115969912,0.20180587470531464,0.12737806141376495,0.16206517815589905,"[59.0, 67.0]",0.3919778107134819,14,62,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,71.51632414199412
F06_diagonal,1.22515155462837,-0.12781476091070787,2.924867752621815,-0.24999915330728914,0.22855645418167114,0.15369068086147308,0.18802396953105927,"[59.0, 67.0]",1.7041021622739094,25,83,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,94.78846607499872
F07_antidiagonal,1.225000187556227,-0.12646361852602975,2.9249996146650346,-0.25046410233686117,0.22855834662914276,0.15376083552837372,0.18819914758205414,"[59.0, 67.0]",1.7045158175140511,36,159,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,180.98326842399547
F08_near_far_asym,1.2249999725781027,-0.1461906010450045,2.8759801904563114,-0.3003324413841942,0.22754178941249847,0.15597988665103912,0.1733296662569046,"[61.0, 83.0]",1.6581602415835237,34,169,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,191.4446841700119
F09_far_close,2.4929012604898326,0.026120991945787757,2.8249998699779924,-0.1500002368635075,0.2018243819475174,0.12772397696971893,0.161051943898201,"[59.0, 67.0]",0.3759097945801165,21,74,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,83.54915016199811
F10_centre_offaxis,1.2250000637394514,-0.10309626340188212,2.8554791861675377,-0.292569753956165,0.22662661969661713,0.15385662019252777,0.17083144187927246,"[61.0, 83.0]",1.6414513006168312,23,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.87823337697773
